11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101
0/0/78,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/76
0/0/78,0/0/5,0/0/4,0/0/5,0/0/4,4/3/0,0/0/4,0/0/5,0/0/4,0/0/5,0/0/76
0/0/78,0/0/1,0/0/1,0/0/1,4/0/0,7/0/0,4/0/0,0/0/1,0/0/1,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,4/0/0,7/0/0,8/0/0,7/0/0,4/0/0,0/0/1,0/0/1,0/0/76
0/0/78,0/0/1,4/0/0,7/0/0,8/0/0,7/0/4001,8/0/0,7/0/0,4/0/0,0/0/1,0/0/76
0/0/78,4/2/0,7/0/0,8/0/0,7/0/4001,4/0/4006,7/0/4001,8/0/0,7/0/0,4/1/0,0/0/76
0/0/78,0/0/5,4/0/0,7/0/0,8/0/0,7/0/4001,8/0/0,7/0/0,4/0/0,0/0/5,0/0/76
0/0/78,0/0/1,0/0/5,4/0/0,7/0/0,8/0/0,7/0/0,4/0/0,0/0/5,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,0/0/5,4/0/0,7/0/0,4/0/0,0/0/5,0/0/1,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,0/0/1,0/0/1,4/4/0,0/0/5,0/0/1,0/0/1,0/0/1,0/0/76
0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
