11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/75,0/0/58,0/0/72,0/0/101
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,0/0/60,8/3/0,0/0/58,0/0/76
0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/79,0/0/75,8/0/0,7/0/0,6/0/0,0/0/76
0/0/0,0/0/0,0/0/0,0/0/78,0/0/62,0/0/63,0/0/64,3/0/0,8/0/0,7/0/0,0/0/76
0/0/0,0/0/0,0/0/0,0/0/78,1/0/4005,4/0/0,1/0/4001,6/0/0,7/0/0,8/0/0,0/0/76
0/0/0,0/0/104,0/0/79,0/0/75,4/0/0,1/0/4008,6/0/0,7/0/0,6/0/0,7/0/0,0/0/76
0/0/104,0/0/75,0/0/58,0/0/60,1/0/4001,6/0/0,1/0/4007,6/0/0,7/0/0,8/0/0,0/0/76
0/0/78,0/0/58,8/0/0,1/0/0,8/0/0,1/0/0,8/0/0,0/0/73,0/0/77,0/0/77,0/0/102
0/0/78,8/2/0,1/0/0,8/0/0,3/0/0,8/0/0,1/0/0,0/0/76,0/0/0,0/0/0,0/0/0
0/0/103,0/0/74,8/0/0,1/0/0,8/0/0,7/0/0,8/0/0,0/0/76,0/0/0,0/0/0,0/0/0
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0
