11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/75,0/0/58,0/0/72,0/0/101
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,0/0/58,0/0/60,8/3/0,0/0/58,0/0/76
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,7/0/0,6/0/0,7/0/0,8/1/0,0/0/76
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,8/0/0,1/0/0,8/0/0,0/0/73,0/0/102
0/0/0,0/0/104,0/0/79,0/0/79,0/0/79,0/0/75,7/0/0,6/0/0,7/0/0,0/0/76,0/0/0
0/0/0,0/0/78,0/0/62,0/0/63,0/0/64,0/0/60,8/0/0,1/0/0,8/0/0,0/0/76,0/0/0
0/0/104,0/0/75,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4006,4/0/0,7/0/0,0/0/76,0/0/0
0/0/78,0/0/58,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/4006,8/0/0,0/0/76,0/0/0
0/0/78,8/2/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4006,0/0/76,0/0/0
0/0/103,0/0/74,8/4/0,0/0/73,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0
0/0/0,0/0/103,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
