12,12
0/0/0,0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101,0/0/0
0/0/0,0/0/78,0/0/58,0/0/60,0/0/59,0/0/62,0/0/63,0/0/64,0/0/60,0/0/58,0/0/76,0/0/0
0/0/0,0/0/78,7/0/126,8/0/0,7/0/0,5/0/117,7/0/120,8/0/118,7/0/120,5/0/119,0/0/76,0/0/0
0/0/0,0/0/78,8/0/0,7/0/0,8/0/0,7/0/0,5/0/0,7/0/0,5/0/0,7/0/0,0/0/76,0/0/0
0/0/104,0/0/75,7/0/0,8/0/0,7/0/0,8/0/4004,7/0/0,4/0/4001,7/0/0,8/0/0,0/0/72,0/0/101
0/0/78,0/0/58,4/0/0,7/0/0,8/0/0,7/0/4007,4/0/4001,7/0/0,8/0/0,7/0/0,0/0/58,0/0/76
0/0/78,8/2/0,7/0/0,4/0/0,7/0/0,5/0/4001,7/0/4007,4/0/0,7/0/0,8/0/0,7/1/0,0/0/76
0/0/103,0/0/74,5/0/0,7/0/0,4/0/4001,7/0/0,8/0/0,7/0/0,4/0/0,7/0/0,0/0/73,0/0/102
0/0/0,0/0/78,7/0/0,5/0/0,7/0/0,4/0/0,7/0/4004,8/0/0,7/0/0,6/0/0,0/0/76,0/0/0
0/0/0,0/0/78,8/0/0,7/0/0,8/0/0,7/0/0,4/0/0,7/0/0,4/0/0,7/0/0,0/0/76,0/0/0
0/0/0,0/0/78,7/0/113,8/0/115,7/0/113,8/0/114,7/0/115,1/0/113,7/0/113,8/0/113,0/0/76,0/0/0
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0
