12,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101,0/0/0
0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/75,0/0/58,0/0/62,0/0/63,0/0/64,0/0/72,0/0/101
0/0/0,0/0/104,0/0/79,0/0/75,0/0/58,0/0/60,1/0/0,8/0/0,7/0/0,8/0/0,0/0/58,0/0/76
0/0/0,0/0/78,0/0/58,0/0/60,8/0/0,7/0/0,8/0/4002,1/0/0,8/0/0,7/0/0,8/1/0,0/0/76
0/0/104,0/0/75,7/0/0,6/0/0,7/0/0,8/0/0,7/0/0,8/0/106,1/0/0,8/0/0,0/0/73,0/0/102
0/0/78,0/0/58,8/0/0,7/0/4002,4/0/0,7/0/0,6/0/4004,1/0/0,8/0/0,7/0/0,0/0/72,0/0/101
0/0/78,8/2/0,7/0/0,4/0/0,7/0/106,8/0/0,7/0/4002,8/0/0,7/0/0,1/0/0,0/0/58,0/0/76
0/0/103,0/0/74,8/0/0,7/0/0,6/0/0,1/0/0,8/0/0,7/0/106,8/0/4001,7/0/0,8/0/0,0/0/76
0/0/0,0/0/78,7/0/0,8/0/0,7/0/4001,8/0/0,1/0/0,8/0/0,7/0/0,4/0/0,7/0/0,0/0/76
0/0/0,0/0/103,0/0/77,0/0/74,1/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,0/0/76
0/0/0,0/0/0,0/0/0,0/0/103,0/0/77,0/0/74,7/0/0,4/0/0,0/0/68,4/4/0,0/0/73,0/0/102
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/103,0/0/77,0/0/77,0/0/98,0/0/77,0/0/102,0/0/0
