11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101
0/0/78,0/0/58,0/0/60,0/0/58,0/0/60,0/0/58,0/0/60,0/0/58,0/0/60,0/0/58,0/0/76
0/0/78,0/0/5,0/0/4,0/0/5,0/0/4,8/3/0,0/0/4,0/0/5,0/0/4,0/0/5,0/0/76
0/0/78,0/0/1,0/0/1,3/0/0,4/0/0,3/0/0,4/0/0,1/0/0,0/0/1,0/0/1,0/0/76
0/0/78,0/0/1,1/0/0,6/0/0,7/0/0,8/0/0,7/0/0,6/0/0,1/0/0,0/0/1,0/0/76
0/0/78,0/0/1,4/0/0,7/0/0,8/0/4002,7/0/0,8/0/0,7/0/0,4/0/0,0/0/1,0/0/76
0/0/78,8/2/0,3/0/0,8/0/0,7/0/0,8/0/4007,7/0/0,8/0/0,3/0/0,8/1/0,0/0/76
0/0/78,0/0/5,4/0/0,7/0/0,8/0/0,7/0/0,8/0/4005,7/0/0,4/0/0,0/0/5,0/0/76
0/0/78,0/0/1,1/0/0,6/0/0,7/0/0,8/0/0,7/0/0,6/0/0,3/0/0,0/0/1,0/0/76
0/0/78,0/0/1,0/0/4,3/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/4,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,0/0/4,0/0/5,8/4/0,0/0/5,0/0/4,0/0/1,0/0/1,0/0/76
0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
