11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0
0/0/0,0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/75,0/0/58,0/0/72,0/0/101
0/0/0,0/0/78,0/0/60,0/0/58,0/0/60,0/0/58,0/0/59,0/0/60,8/3/0,0/0/60,0/0/76
0/0/0,0/0/78,0/0/4,0/0/4,0/0/4,0/0/4,7/0/0,8/0/0,7/0/0,6/1/0,0/0/76
0/0/0,0/0/78,0/0/1,1/0/130,8/0/131,7/0/132,8/0/4001,3/0/0,8/0/0,0/0/3,0/0/76
0/0/0,0/0/78,0/0/1,0/0/2,1/0/4007,4/0/4005,1/0/0,6/0/4001,7/0/0,6/0/0,0/0/76
0/0/0,0/0/78,0/0/1,0/0/1,4/0/4005,1/0/4004,6/0/4001,7/0/0,5/0/0,7/0/0,0/0/76
0/0/104,0/0/75,7/0/0,7/0/0,1/0/0,6/0/4001,1/0/4004,6/0/0,7/0/0,5/0/0,0/0/76
0/0/78,0/0/58,8/0/0,1/0/0,8/0/4001,1/0/0,8/0/0,7/0/106,0/0/4,0/0/3,0/0/76
0/0/78,8/2/0,1/0/0,8/0/0,3/0/0,8/0/4001,1/0/0,0/0/4,0/0/1,0/0/1,0/0/76
0/0/103,0/0/74,7/4/0,0/0/4,7/0/0,1/0/0,7/0/0,0/0/1,0/0/1,0/0/1,0/0/76
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
