9,10,,,,,,,
0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0,0/0/0,0/0/0
0/0/0,0/0/104,0/0/79,0/0/75,0/0/58,0/0/72,0/0/79,0/0/101,0/0/0
0/0/0,0/0/78,0/0/58,0/0/60,1/3/0,0/0/61,0/0/58,0/0/76,0/0/0
0/0/104,0/0/75,8/0/107,1/0/0,8/0/0,1/101/0,8/0/106,0/0/72,0/0/101
0/0/78,0/0/58,2/0/0,8/0/0,7/0/0,8/0/0,2/0/0,0/0/58,0/0/76
0/0/78,1/2/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,1/1/0,0/0/76
0/0/103,0/0/74,1/0/0,8/0/0,7/0/0,8/0/0,1/0/0,0/0/73,0/0/102
0/0/0,0/0/78,8/0/111,1/0/0,8/0/0,2/0/0,8/0/112,0/0/76,0/0/0
0/0/0,0/0/103,0/0/77,0/0/74,1/4/0,0/0/73,0/0/77,0/0/102,0/0/0
0/0/0,0/0/0,0/0/0,0/0/103,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0
