10,10,,,,,,,,
1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0
1/0/0/1/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0
1/0/0/1/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/102/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0
1/0/0/1/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0
1/0/0/1/4,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/101/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/2
1/0/0/1/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0
1/0/0/1/4,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/103/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0
1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/2
1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0,1/0/0/0/0,1/0/0/0/0,1/0/0/1/0
1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0,1/0/0/1/0
