17,14
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/1021,0/0/1023,0/0/1023,0/0/1030,0/0/5,0/0/1027,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1018,0/0/0
0/0/0,0/0/1026,0/0/5,0/0/5,0/0/5,38/1/0,0/0/5,0/0/5,0/0/5,0/0/5,0/0/5,0/0/5,0/0/5,0/0/5,0/0/5,0/0/1024,0/0/0
0/0/0,0/0/1026,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/4001,37/0/0,38/0/0,37/0/0,38/0/0,0/0/1024,0/0/0
0/0/0,0/0/1026,37/0/0,38/0/4001,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/4001,38/0/2002,37/0/0,0/0/1024,0/0/0
0/0/1021,0/0/1030,38/0/0,37/0/0,38/0/0,37/0/4001,38/0/0,37/0/0,38/0/4003,37/0/4001,38/0/0,37/0/2002,38/0/0,37/0/0,38/0/0,0/0/1027,0/0/1018
0/0/1026,0/0/5,37/0/0,38/0/0,0/0/1033,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,0/0/1033,38/0/0,37/0/0,0/0/5,0/0/1024
0/0/1026,35/4/0,38/0/0,37/0/0,0/0/1031,37/0/0,38/0/0,37/0/2003,38/0/2004,37/0/2005,38/0/0,37/0/0,0/0/1031,37/0/0,38/0/0,35/2/0,0/0/1024
0/0/1020,0/0/1029,37/0/0,38/0/0,37/0/5,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/5,38/0/0,37/0/0,0/0/1028,0/0/1019
0/0/0,0/0/1026,38/0/0,37/0/0,38/0/0,37/0/2002,38/0/0,37/0/4001,38/0/4003,37/0/0,38/0/0,37/0/4001,38/0/0,37/0/0,38/0/0,0/0/1024,0/0/0
0/0/0,0/0/1026,37/0/0,38/0/2002,37/0/4001,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/4001,37/0/0,0/0/1024,0/0/0
0/0/0,0/0/1026,38/0/0,37/0/0,38/0/0,37/0/0,38/0/4001,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,37/0/0,38/0/0,0/0/1024,0/0/0
0/0/0,0/0/1020,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1029,38/3/0,0/0/1028,0/0/1025,0/0/1025,0/0/1019,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1025,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0
