15,17
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1030,0/0/5,0/0/1027,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1030,0/0/5,35/1/0,0/0/5,0/0/1027,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1030,0/0/5,36/0/0,38/0/0,35/0/0,0/0/5,0/0/1027,0/0/1018,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/1021,0/0/1030,0/0/5,35/0/0,38/0/0,35/0/0,38/0/0,36/0/0,0/0/5,0/0/1027,0/0/1018,0/0/0,0/0/0
0/0/0,0/0/1021,0/0/1030,0/0/5,35/0/0,38/0/0,0/0/1035,40/0/4001,35/0/0,40/0/0,35/0/0,0/0/5,0/0/1027,0/0/1018,0/0/0
0/0/1021,0/0/1030,0/0/5,35/0/0,40/0/4002,35/0/0,0/0/5,35/0/0,38/0/4001,0/0/1035,40/0/0,36/0/0,0/0/5,0/0/1027,0/0/0
0/0/1026,0/0/5,36/0/4001,40/0/0,35/0/0,40/0/0,36/0/0,38/0/0,0/0/1035,38/0/5,36/0/0,38/0/0,35/0/4001,0/0/5,0/0/1024
0/0/1026,36/0/0,38/0/0,0/0/1035,40/0/0,35/0/4003,38/0/0,35/0/0,0/0/5,36/0/0,38/0/0,0/0/1035,38/0/0,36/0/0,0/0/1024
0/0/1026,38/0/0,36/0/0,0/0/5,35/0/0,38/0/0,0/0/1035,40/0/0,35/0/0,38/0/4003,35/0/0,0/0/5,35/0/0,38/0/0,0/0/1024
0/0/1026,35/0/4001,38/0/0,35/0/0,38/0/0,0/0/1035,0/0/5,35/0/0,40/0/0,35/0/0,40/0/0,36/0/0,40/0/0,35/0/4001,0/0/1024
0/0/1020,0/0/1025,0/0/1029,38/0/0,36/0/0,38/0/5,35/0/4001,40/0/0,0/0/1035,40/0/0,36/0/4002,38/0/0,0/0/1028,0/0/1025,0/0/1019
0/0/0,0/0/0,0/0/1020,0/0/1029,40/0/0,35/0/0,38/0/0,35/0/4001,0/0/5,35/0/0,40/0/0,0/0/1028,0/0/1019,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,40/0/0,35/0/0,38/0/0,35/0/0,40/0/0,0/0/1028,0/0/1019,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,38/0/0,36/0/0,38/0/0,0/0/1028,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,38/3/0,0/0/1028,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1025,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
