15,16
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1023,0/0/1023,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,0/0/5,0/0/5,0/0/5,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,35/4/0,40/0/0,36/0/0,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,35/0/0,38/0/0,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1030,38/0/0,35/0/0,0/0/1027,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0
0/0/1021,0/0/1023,0/0/1023,0/0/1023,0/0/1030,0/0/5,0/0/5,35/0/0,38/0/0,0/0/5,0/0/1024,0/0/0,0/0/1021,0/0/1023,0/0/1018
0/0/1026,0/0/5,0/0/5,0/0/5,0/0/5,40/0/0,35/0/0,38/0/0,37/0/0,38/0/0,0/0/1027,0/0/1023,0/0/1030,0/0/5,0/0/1024
0/0/1026,36/0/0,38/0/0,35/0/0,40/0/0,35/0/0,38/0/4001,35/0/4001,38/0/4001,35/0/0,0/0/5,0/0/5,0/0/5,35/1/0,0/0/1024
0/0/1026,38/0/0,35/0/0,40/0/0,35/0/0,38/0/0,35/0/4001,38/0/4002,36/0/4001,38/0/0,35/0/0,38/0/0,36/0/0,40/0/0,0/0/1024
0/0/1026,35/3/0,0/0/1028,0/0/1025,0/0/1029,36/0/0,38/0/4001,36/0/4001,38/0/4001,37/0/0,38/0/0,35/0/0,38/0/0,36/0/0,0/0/1024
0/0/1020,0/0/1025,0/0/1019,0/0/0,0/0/1026,38/0/0,35/0/0,38/0/0,35/0/0,38/0/0,0/0/1028,0/0/1025,0/0/1025,0/0/1025,0/0/1019
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,38/0/0,35/0/0,0/0/1028,0/0/1025,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,35/0/0,38/0/0,0/0/1027,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,38/0/0,35/0/0,0/0/5,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,36/0/0,40/0/0,35/2/0,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1025,0/0/1025,0/0/1025,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
