9,10
0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0,0/0/0,0/0/0
0/0/0,0/0/104,0/0/79,0/0/75,0/0/58,0/0/72,0/0/79,0/0/101,0/0/0
0/0/0,0/0/78,0/0/58,0/0/60,7/3/0,0/0/61,0/0/58,0/0/76,0/0/0
0/0/104,0/0/75,8/0/126,7/0/0,8/0/0,7/0/0,8/0/125,0/0/72,0/0/101
0/0/78,0/0/58,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,0/0/58,0/0/76
0/0/78,7/2/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/1/0,0/0/76
0/0/103,0/0/74,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,0/0/73,0/0/102
0/0/0,0/0/78,8/0/124,7/0/0,8/0/0,7/0/0,8/0/128,0/0/76,0/0/0
0/0/0,0/0/103,0/0/77,0/0/74,7/4/0,0/0/73,0/0/77,0/0/102,0/0/0
0/0/0,0/0/0,0/0/0,0/0/103,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0
