11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/28,0/0/6,0/0/25,0/0/54
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/31,0/0/11,1/3/0,0/0/12,0/0/29
0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/28,1/0/0,1/0/0,1/0/0,0/0/29
0/0/0,0/0/0,0/0/0,0/0/31,0/0/7,0/0/8,0/0/9,1/0/0,1/0/0,1/0/0,0/0/29
0/0/0,0/0/0,0/0/0,0/0/31,1/0/121,1/0/122,1/0/123,1/0/0,1/0/0,1/0/0,0/0/29
0/0/0,0/0/57,0/0/32,0/0/28,1/0/122,0/0/20,0/0/22,1/0/0,1/0/0,1/0/0,0/0/29
0/0/57,0/0/28,0/0/12,0/0/16,1/0/123,0/0/6,0/0/17,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,0/0/6,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/4006,1/0/0,1/0/0,0/0/29
0/0/31,1/2/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/4006,1/0/0,0/0/29
0/0/56,0/0/27,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/4006,0/0/29
0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
