11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101,0/0/0
0/0/78,0/0/58,0/0/60,0/0/58,0/0/62,0/0/63,0/0/63,0/0/60,0/0/58,0/0/72,0/0/101
0/0/78,7/0/0,8/0/0,7/0/4003,8/0/0,7/0/0,8/0/0,7/0/0,8/3/0,0/0/58,0/0/76
0/0/78,8/0/0,7/0/0,8/0/4003,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/1/0,0/0/76
0/0/78,7/0/4003,8/0/4003,7/0/4004,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,0/0/73,0/0/102
0/0/78,8/0/0,7/0/0,8/0/0,0/0/73,0/0/77,0/0/74,8/0/107,7/0/109,0/0/76,0/0/0
0/0/78,7/0/0,8/0/0,7/0/0,0/0/72,0/0/79,0/0/75,7/0/111,8/0/110,0/0/76,0/0/0
0/0/78,8/0/0,7/0/0,8/0/0,0/0/58,0/0/58,0/0/58,8/0/111,7/0/111,0/0/76,0/0/0
0/0/78,7/0/0,8/0/0,7/0/0,8/0/110,7/0/112,8/0/110,7/0/110,8/0/111,0/0/76,0/0/0
0/0/78,8/2/0,7/0/0,8/0/0,7/0/112,8/0/107,7/0/108,8/0/112,7/0/110,0/0/76,0/0/0
0/0/103,0/0/74,8/4/0,0/0/73,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0
0/0/0,0/0/103,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
