11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/75,0/0/58,0/0/72,0/0/101
0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/75,0/0/58,0/0/58,8/3/0,0/0/58,0/0/76
0/0/0,0/0/0,0/0/0,0/0/104,0/0/75,0/0/58,0/0/5,8/0/0,7/0/0,8/1/0,0/0/76
0/0/0,0/0/0,0/0/104,0/0/75,0/0/58,0/0/5,0/0/1,7/0/0,8/0/0,7/0/0,0/0/76
0/0/0,0/0/104,0/0/75,0/0/58,0/0/5,0/0/1,0/0/1,8/0/0,7/0/0,8/0/0,0/0/76
0/0/0,0/0/78,0/0/58,0/0/5,0/0/1,0/0/1,8/0/125,7/0/0,8/0/0,7/0/0,0/0/76
0/0/104,0/0/75,0/0/5,0/0/1,0/0/1,8/0/128,7/0/128,8/0/4001,7/0/4004,8/0/4001,0/0/76
0/0/78,0/0/58,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4001,7/0/4002,8/0/0,7/0/0,0/0/76
0/0/78,8/2/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4004,8/0/0,7/0/0,8/0/0,0/0/76
0/0/103,0/0/74,8/4/0,7/0/0,8/0/0,7/0/0,8/0/4001,7/0/0,8/0/0,7/0/0,0/0/76
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
