12,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101
0/0/78,0/0/60,0/0/58,0/0/58,0/0/59,0/0/58,0/0/60,0/0/62,0/0/63,0/0/64,0/0/60,0/0/76
0/0/78,7/0/120,8/0/0,7/0/0,8/0/0,7/0/4001,8/0/4001,7/0/0,8/0/0,7/0/0,8/0/120,0/0/76
0/0/78,8/0/0,7/0/0,8/0/4003,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4003,8/0/0,7/0/0,0/0/76
0/0/78,7/0/0,8/0/0,7/0/4004,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4004,7/0/0,8/0/0,0/0/76
0/0/78,8/0/0,7/0/0,8/0/0,7/0/126,8/0/125,7/0/125,8/0/127,7/0/0,8/0/0,7/0/0,0/0/76
0/0/78,7/0/0,8/0/4001,7/0/0,8/0/0,7/0/124,8/0/128,7/0/0,8/0/0,7/0/4001,8/0/0,0/0/76
0/0/78,8/0/119,7/0/0,8/0/0,7/0/4001,8/0/117,7/0/129,8/0/4001,7/0/0,8/0/0,7/0/117,0/0/76
0/0/103,0/0/81,0/0/69,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,0/0/67,0/0/85,0/0/102
0/0/0,0/0/78,0/0/58,8/0/0,7/0/0,8/0/4001,7/0/4001,8/0/0,7/0/0,0/0/58,0/0/76,0/0/0
0/0/0,0/0/78,8/2/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/1/0,0/0/76,0/0/0
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0
