11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/75,0/0/58,0/0/72,0/0/101
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,0/0/58,8/3/0,0/0/58,0/0/76
0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/79,0/0/75,8/0/0,7/0/0,8/0/0,0/0/76
0/0/0,0/0/0,0/0/0,0/0/78,0/0/62,0/0/63,0/0/64,7/0/0,8/0/0,7/0/0,0/0/76
0/0/0,0/0/0,0/0/104,0/0/75,7/0/107,8/0/111,7/0/109,8/0/0,7/0/0,8/0/0,0/0/76
0/0/0,0/0/104,0/0/75,0/0/58,8/0/110,0/0/5,0/0/4,7/0/0,8/0/0,7/0/0,0/0/76
0/0/104,0/0/75,0/0/60,8/0/109,0/0/5,0/0/1,0/0/1,8/0/0,7/0/4001,8/0/0,0/0/76
0/0/78,0/0/58,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4002,8/0/0,7/0/4001,0/0/76
0/0/78,8/2/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4001,8/0/0,7/0/4004,8/0/0,0/0/76
0/0/103,0/0/74,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4001,8/0/0,7/0/0,0/0/76
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
