12,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,1/0/123,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/121,0/0/29
0/0/31,1/0/0,1/0/4002,1/0/0,1/0/0,1/0/4002,1/0/0,1/0/0,1/0/4002,1/0/0,1/0/0,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/4002,1/0/0,1/0/0,1/0/4002,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,1/0/122,1/0/0,1/0/0,1/0/0,1/0/4002,1/0/0,1/0/0,1/0/0,1/0/0,1/0/122,0/0/29
0/0/56,0/0/34,0/0/22,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,0/0/20,0/0/38,0/0/55
0/0/0,0/0/31,0/0/6,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,0/0/6,0/0/29,0/0/0
0/0/0,0/0/31,1/2/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/1/0,0/0/29,0/0/0
0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
