11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/104,0/0/75,0/0/58,0/0/72,0/0/101
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,0/0/58,8/3/0,0/0/59,0/0/76
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,8/0/0,7/0/0,8/1/0,0/0/76
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/78,7/0/0,8/0/0,7/0/0,0/0/76
0/0/0,0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/75,8/0/0,7/0/0,8/0/0,0/0/76
0/0/0,0/0/78,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,7/0/0,8/0/0,7/0/0,0/0/76
0/0/104,0/0/75,7/0/129,7/0/130,7/0/131,7/0/132,7/0/128,8/0/4008,7/0/0,8/0/4001,0/0/76
0/0/78,0/0/58,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4008,7/0/4003,8/0/0,7/0/0,0/0/76
0/0/78,8/2/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/4005,8/0/0,0/0/76
0/0/103,0/0/74,8/4/0,7/0/0,8/0/0,7/0/0,8/0/4001,7/0/0,8/0/0,7/0/0,0/0/76
0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
