11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101,0/0/0
0/0/78,0/0/58,0/0/59,0/0/58,0/0/60,0/0/58,0/0/59,0/0/58,0/0/60,0/0/72,0/0/101
0/0/78,7/0/0,8/0/0,7/0/4003,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,0/0/58,0/0/76
0/0/78,8/0/0,7/0/0,8/0/4003,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/1/0,0/0/76
0/0/78,7/0/4003,8/0/4003,7/0/4004,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,0/0/73,0/0/102
0/0/78,8/0/0,7/0/0,8/0/0,0/0/4,0/0/4,0/0/4,8/0/117,7/0/117,0/0/76,0/0/0
0/0/78,7/0/0,8/0/0,7/0/0,0/0/1,0/0/1,0/0/1,7/0/118,8/0/117,0/0/76,0/0/0
0/0/78,8/0/0,7/0/0,8/0/0,0/0/1,0/0/1,0/0/1,8/0/120,7/0/118,0/0/76,0/0/0
0/0/78,7/0/0,8/0/0,7/0/0,8/0/120,7/0/119,8/0/118,7/0/117,8/0/120,0/0/76,0/0/0
0/0/78,8/0/0,7/0/0,8/0/0,7/0/119,8/0/120,7/0/119,8/0/117,7/0/120,0/0/76,0/0/0
0/0/103,0/0/74,8/4/0,0/0/73,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0
0/0/0,0/0/103,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
