11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101
0/0/78,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/58,0/0/76
0/0/78,8/0/115,7/0/116,8/0/115,7/0/113,8/3/0,7/0/115,8/0/116,7/0/116,8/0/113,0/0/76
0/0/78,7/0/114,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/113,0/0/76
0/0/78,8/0/116,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/115,0/0/76
0/0/78,7/0/115,8/0/0,7/0/4001,8/0/0,7/0/0,8/0/0,7/0/4001,8/0/0,7/0/114,0/0/76
0/0/78,8/0/116,7/0/0,8/0/0,7/0/0,8/0/4004,7/0/0,8/0/0,7/0/0,8/0/116,0/0/76
0/0/78,7/2/0,8/0/0,7/0/0,7/0/113,7/0/114,7/0/115,7/0/0,8/0/0,7/1/0,0/0/76
0/0/78,8/0/113,7/0/0,7/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/113,0/0/76
0/0/78,7/0/115,8/0/0,7/0/0,8/0/0,7/0/4003,8/0/0,7/0/0,8/0/0,7/0/114,0/0/76
0/0/78,8/0/115,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/116,0/0/76
0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
