12,11
0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/37,0/0/32,0/0/54,0/0/0
0/0/57,0/0/32,0/0/32,0/0/28,1/0/0,1/0/0,1/0/0,1/0/0,0/0/19,0/0/6,0/0/25,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,1/0/0,1/0/0,1/0/4003,1/0/0,0/0/6,1/3/0,0/0/6,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/0,1/0/4001,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/4001,0/0/2,1/0/4004,1/0/0,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/0,1/0/4004,0/0/2,1/0/4001,1/0/0,1/0/0,1/0/0,0/0/29
0/0/31,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/4001,1/0/0,1/0/0,1/0/0,1/0/0,0/0/29
0/0/56,0/0/27,1/4/0,0/0/21,1/0/0,1/0/4003,1/0/0,1/0/0,0/0/26,0/0/30,0/0/30,0/0/55
0/0/0,0/0/56,0/0/30,0/0/39,1/0/0,1/0/0,1/0/0,1/0/0,0/0/29,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0
