11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101
0/0/78,0/0/58,0/0/60,0/0/59,0/0/58,0/0/58,0/0/60,0/0/59,0/0/58,0/0/60,0/0/76
0/0/78,0/0/5,0/0/4,0/0/5,0/0/4,8/3/0,0/0/5,0/0/4,0/0/5,0/0/4,0/0/76
0/0/78,0/0/1,0/0/1,1/0/0,6/0/0,1/10/0,6/0/0,1/0/0,0/0/1,7/0/105,0/0/76
0/0/78,0/0/1,1/0/0,6/0/0,7/0/0,8/0/0,7/0/0,6/0/0,1/0/0,8/5/0,0/0/76
0/0/78,0/0/1,6/0/0,7/0/0,8/0/5002,7/0/5002,8/0/5002,7/0/0,6/0/0,0/0/5,0/0/76
0/0/78,7/2/0,1/10/0,8/0/0,7/0/0,4/0/0,7/0/0,8/0/0,1/10/0,8/1/0,0/0/76
0/0/78,0/0/4,6/0/0,7/0/0,8/0/0,7/0/0,8/0/5002,7/0/0,6/0/0,0/0/4,0/0/76
0/0/78,0/0/1,1/0/0,6/0/0,7/0/0,8/0/0,7/0/0,6/0/0,1/0/0,0/0/1,0/0/76
0/0/78,0/0/1,0/0/4,1/0/0,6/0/0,1/10/0,6/0/0,1/0/0,0/0/4,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,0/0/4,0/0/5,8/4/0,0/0/5,0/0/4,0/0/1,0/0/1,0/0/76
0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
