13,14
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/28,0/0/6,0/0/25,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0
0/0/0,0/0/31,0/0/11,0/0/10,0/0/15,0/0/11,4/3/0,0/0/12,0/0/6,0/0/11,0/0/14,0/0/29,0/0/0
0/0/0,0/0/31,0/0/2,0/0/2,0/0/2,0/0/2,1/0/0,0/0/2,0/0/2,0/0/2,0/0/2,0/0/29,0/0/0
0/0/0,0/0/31,0/0/1,0/0/1,0/0/1,0/0/1,4/0/0,0/0/1,0/0/1,1/0/105,0/0/1,0/0/29,0/0/0
0/0/57,0/0/28,0/0/1,0/0/1,1/0/0,5/0/0,1/0/0,4/0/0,1/0/0,4/5/0,0/0/1,0/0/25,0/0/54
0/0/31,0/0/6,0/0/1,0/0/1,6/0/0,3/0/0,4/0/0,2/0/0,4/0/0,0/0/2,0/0/1,0/0/6,0/0/29
0/0/31,4/2/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/5001,6/0/0,1/0/0,4/0/0,2/0/0,4/1/0,0/0/29
0/0/56,0/0/27,0/0/2,0/0/2,5/0/0,2/0/0,6/0/0,1/0/0,4/0/0,0/0/2,0/0/2,0/0/26,0/0/55
0/0/0,0/0/31,0/0/1,0/0/1,1/0/0,4/0/0,1/0/0,5/0/0,1/0/0,0/0/1,0/0/1,0/0/29,0/0/0
0/0/0,0/0/31,0/0/1,0/0/1,0/0/2,0/0/2,4/0/0,0/0/2,0/0/2,0/0/1,0/0/1,0/0/29,0/0/0
0/0/0,0/0/31,0/0/1,0/0/1,0/0/1,0/0/1,1/0/0,0/0/1,0/0/1,0/0/1,0/0/1,0/0/29,0/0/0
0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/27,4/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
