11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0
0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/28,0/0/6,0/0/25,0/0/54
0/0/0,0/0/31,0/0/6,0/0/11,0/0/6,0/0/6,0/0/11,0/0/6,8/3/0,0/0/6,0/0/29
0/0/0,0/0/31,1/0/0,8/0/0,1/0/4006,4/0/0,1/0/0,4/0/0,7/0/0,8/1/0,0/0/29
0/0/0,0/0/31,8/0/0,1/0/0,8/0/0,7/0/4007,8/0/4008,7/0/0,8/0/0,0/0/26,0/0/55
0/0/0,0/0/31,1/0/4006,8/0/0,1/0/4001,4/0/0,1/0/0,4/0/0,7/0/0,0/0/29,0/0/0
0/0/0,0/0/31,4/0/0,7/0/4007,4/0/0,0/0/26,0/0/30,0/0/27,8/0/117,0/0/29,0/0/0
0/0/57,0/0/28,1/0/0,8/0/4008,1/0/0,0/0/25,0/0/32,0/0/28,7/0/118,0/0/29,0/0/0
0/0/31,0/0/6,4/0/0,7/0/0,4/0/0,0/0/7,0/0/8,0/0/9,8/0/119,0/0/29,0/0/0
0/0/31,8/2/0,7/0/0,8/0/0,7/0/0,8/0/120,7/0/117,8/0/118,7/0/120,0/0/29,0/0/0
0/0/56,0/0/27,8/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
