12,11
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/16,0/0/7,0/0/8,0/0/9,0/0/6,0/0/10,0/0/7,0/0/8,0/0/9,0/0/10,0/0/29
0/0/31,0/0/2,0/0/3,0/0/2,0/0/3,4/2/0,1/0/0,4/0/0,2/0/4002,8/0/0,1/0/0,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/1,0/0/3,8/0/0,1/0/0,8/0/0,1/0/121,4/0/0,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/1,0/0/1,1/0/0,8/0/0,1/0/0,8/0/0,1/0/0,0/0/29
0/0/31,0/0/1,0/0/1,1/0/1,4/0/0,7/0/0,4/0/4004,7/0/4005,4/0/0,0/0/5,0/0/2,0/0/29
0/0/31,0/0/1,0/0/1,4/0/0,7/0/4005,4/0/4004,7/0/0,4/0/0,0/0/3,0/0/1,0/0/1,0/0/29
0/0/31,1/0/4002,8/0/0,1/0/0,8/0/0,1/0/0,0/0/4,0/0/3,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,6/0/0,2/0/122,8/0/0,1/0/0,8/0/0,0/0/1,0/0/1,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,1/0/0,8/0/0,1/0/0,4/0/0,1/0/0,4/1/0,0/0/1,0/0/1,0/0/1,0/0/1,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
