12,11
0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/57,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0
0/0/0,0/0/57,0/0/32,0/0/28,0/0/6,0/0/25,0/0/28,1/0/11,1/0/6,1/0/11,0/0/25,0/0/54
0/0/0,0/0/31,0/0/11,0/0/6,8/0/120,0/0/6,1/0/11,1/0/0,8/0/0,1/0/0,0/0/6,0/0/29
0/0/0,0/0/31,0/0/3,8/0/119,1/0/119,8/0/120,1/0/0,8/0/0,1/0/0,8/0/0,1/1/0,0/0/29
0/0/0,0/0/31,0/0/1,0/0/4,8/0/120,1/0/0,8/0/4003,1/0/0,8/0/0,1/0/0,0/0/26,0/0/55
0/0/0,0/0/31,0/0/1,0/0/1,1/0/0,8/0/4006,1/0/4008,8/0/0,1/0/0,0/0/20,0/0/50,0/0/0
0/0/57,0/0/28,0/0/1,1/0/0,8/0/0,1/0/4008,8/0/4006,1/0/0,8/0/117,0/0/6,0/0/29,0/0/0
0/0/31,0/0/6,1/0/0,8/0/0,1/0/0,8/0/4003,1/0/0,8/0/117,1/0/118,8/0/118,0/0/29,0/0/0
0/0/31,1/2/0,8/0/0,1/0/0,8/0/0,1/0/0,0/0/2,0/0/5,8/0/120,0/0/5,0/0/29,0/0/0
0/0/56,0/0/27,1/0/0,8/0/0,1/0/0,0/0/2,0/0/1,0/0/1,0/0/5,0/0/1,0/0/29,0/0/0
0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
