12,11
0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/0,0/0/0,0/0/0,0/0/0,0/0/31,0/0/6,0/0/10,0/0/7,0/0/8,0/0/9,0/0/10,0/0/29
0/0/0,0/0/0,0/0/0,0/0/0,0/0/31,4/2/0,1/0/0,4/0/0,2/0/4002,8/0/0,1/0/0,0/0/29
0/0/0,0/0/0,0/0/0,0/0/57,0/0/40,0/0/22,8/0/0,1/0/0,8/0/0,1/0/111,4/0/0,0/0/29
0/0/0,0/0/0,0/0/57,0/0/28,0/0/6,0/0/11,1/0/0,8/0/0,1/0/0,8/0/0,1/0/0,0/0/29
0/0/57,0/0/32,0/0/28,1/0/13,4/0/0,7/0/0,4/0/4004,7/0/4005,4/0/0,0/0/26,0/0/30,0/0/55
0/0/31,0/0/6,0/0/11,4/0/0,7/0/4005,4/0/4004,7/0/0,4/0/0,0/0/26,0/0/55,0/0/0,0/0/0
0/0/31,1/0/4002,8/0/0,1/0/0,8/0/0,1/0/0,0/0/20,0/0/38,0/0/55,0/0/0,0/0/0,0/0/0
0/0/31,6/0/0,2/0/110,8/0/0,1/0/0,8/0/0,0/0/6,0/0/29,0/0/0,0/0/0,0/0/0,0/0/0
0/0/31,1/0/0,8/0/0,1/0/0,4/0/0,1/0/0,4/1/0,0/0/29,0/0/0,0/0/0,0/0/0,0/0/0
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0
