11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/57,0/0/28,0/0/6,0/0/25,0/0/54,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/31,0/0/6,7/3/0,0/0/6,0/0/29,0/0/0,0/0/0,0/0/0
0/0/0,0/0/57,0/0/32,0/0/28,1/0/0,8/0/0,1/0/0,0/0/25,0/0/32,0/0/54,0/0/0
0/0/57,0/0/28,0/0/6,0/0/11,5/0/0,7/0/0,5/0/0,0/0/11,0/0/6,0/0/25,0/0/54
0/0/31,0/0/6,1/0/0,4/0/0,1/0/0,8/0/4001,1/0/0,4/0/0,1/0/0,0/0/6,0/0/29
0/0/31,7/2/0,8/0/0,7/0/0,8/0/4001,7/0/4004,8/0/4001,8/0/0,8/0/0,8/1/0,0/0/29
0/0/56,0/0/27,1/0/0,4/0/0,1/0/0,8/0/4001,1/0/0,4/0/0,1/0/0,0/0/26,0/0/55
0/0/0,0/0/56,0/0/30,0/0/27,5/0/0,7/0/0,5/0/0,0/0/26,0/0/30,0/0/55,0/0/0
0/0/0,0/0/0,0/0/0,0/0/31,1/0/0,8/0/0,1/0/0,0/0/29,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/56,0/0/27,7/4/0,0/0/26,0/0/55,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0
