11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0
0/0/57,0/0/32,0/0/32,0/0/32,0/0/28,0/0/6,0/0/25,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/7,0/0/8,0/0/9,0/0/12,1/3/0,0/0/12,0/0/7,0/0/8,0/0/9,0/0/29
0/0/31,1/2/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/31,4/0/118,1/0/0,4/0/0,1/0/0,8/0/0,1/0/0,4/0/0,1/0/0,4/0/117,0/0/29
0/0/56,0/0/30,0/0/27,1/0/0,4/0/4001,7/0/0,4/0/4001,1/0/0,0/0/26,0/0/30,0/0/55
0/0/57,0/0/32,0/0/28,8/0/117,7/0/0,8/0/4005,7/0/0,8/0/119,0/0/25,0/0/32,0/0/54
0/0/31,0/0/6,0/0/11,1/0/0,4/0/4001,7/0/0,4/0/4001,1/0/0,0/0/11,0/0/6,0/0/29
0/0/31,4/0/117,1/0/0,4/0/0,1/0/0,8/0/0,1/0/0,4/0/0,1/0/0,4/0/117,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/1/0,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/27,4/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/55
0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0
