11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,7/0/119,0/0/2,0/0/2,0/0/2,1/3/0,0/0/2,0/0/2,0/0/2,7/0/117,0/0/29
0/0/31,0/0/4,7/0/117,0/0/1,1/0/0,4/0/0,1/0/0,0/0/1,7/0/117,0/0/4,0/0/29
0/0/31,0/0/1,0/0/4,7/0/0,4/0/0,1/0/0,4/0/0,7/0/0,0/0/4,0/0/1,0/0/29
0/0/31,4/0/4006,1/0/0,4/0/0,7/0/0,4/0/0,7/0/0,6/0/0,1/0/0,6/0/4006,0/0/29
0/0/31,1/0/0,4/0/0,1/0/4001,4/0/0,7/0/4008,4/0/0,1/0/4001,4/0/0,1/0/0,0/0/29
0/0/31,4/0/4006,1/0/0,4/0/0,7/0/0,4/0/0,7/0/0,4/0/0,1/0/0,6/0/4006,0/0/29
0/0/31,0/0/2,0/0/2,7/0/0,4/0/0,1/0/0,4/0/0,7/0/0,0/0/2,0/0/2,0/0/29
0/0/31,0/0/1,7/0/119,0/0/4,1/0/0,6/0/0,1/0/0,0/0/4,7/0/117,0/0/1,0/0/29
0/0/31,7/0/120,0/0/4,0/0/1,0/0/2,1/4/0,0/0/2,0/0/1,0/0/4,7/0/120,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
