11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/7,0/0/8,0/0/9,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,0/0/3,0/0/1,0/0/3,0/0/3,0/0/3,0/0/3,0/0/3,4/3/0,0/0/3,0/0/29
0/0/31,4/2/0,1/0/0,4/0/0,1/0/130,8/0/131,1/0/132,4/0/0,1/0/0,0/0/1,0/0/29
0/0/31,0/0/3,4/0/0,1/0/0,4/0/0,7/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/29
0/0/31,0/0/1,1/0/126,4/0/0,1/0/4008,8/0/4003,1/0/4008,4/0/0,1/0/127,0/0/1,0/0/29
0/0/31,0/0/1,8/0/129,7/0/4001,8/0/0,1/0/0,8/0/0,7/0/4001,8/0/128,0/0/1,0/0/29
0/0/31,0/0/1,1/0/129,4/0/0,1/0/4008,8/0/4003,1/0/4008,4/0/0,1/0/128,0/0/1,0/0/29
0/0/31,0/0/1,4/0/0,1/0/0,4/0/0,7/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/29
0/0/31,0/0/1,1/0/0,4/0/0,1/0/124,8/0/119,1/0/120,4/0/0,1/0/0,4/1/0,0/0/29
0/0/31,0/0/1,4/4/0,0/0/3,0/0/2,0/0/5,0/0/2,0/0/3,0/0/2,0/0/3,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
