11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/28,0/0/6,0/0/25,0/0/54
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/31,0/0/6,0/0/6,8/3/0,0/0/6,0/0/29
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/31,1/0/0,4/0/0,7/0/0,8/1/0,0/0/29
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/31,8/0/0,7/0/0,8/0/0,0/0/26,0/0/55
0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/28,1/0/0,4/0/0,7/0/0,0/0/29,0/0/0
0/0/0,0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,4/0/4006,1/0/0,8/0/0,0/0/29,0/0/0
0/0/57,0/0/28,1/0/0,8/0/0,1/0/0,4/0/4006,1/0/0,4/0/4005,7/0/0,0/0/29,0/0/0
0/0/31,0/0/6,4/0/0,7/0/0,4/0/0,1/0/0,4/0/4005,1/0/4008,8/0/4003,0/0/29,0/0/0
0/0/31,8/2/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4003,7/0/4007,0/0/29,0/0/0
0/0/56,0/0/27,8/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
