11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,0/0/3,0/0/2,4/3/0,0/0/2,0/0/3,0/0/2,0/0/3,0/0/2,0/0/3,0/0/29
0/0/31,0/0/1,4/0/0,7/0/0,4/0/0,0/0/1,0/0/1,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,4/2/0,7/0/0,4/0/0,7/0/0,4/0/0,0/0/1,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,0/0/3,4/0/0,7/0/0,4/0/4001,7/0/0,4/0/4005,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/3,4/0/0,7/0/0,4/0/4005,7/0/0,4/0/0,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/3,4/0/4005,7/0/0,4/0/4001,7/0/0,4/0/0,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/3,4/0/0,7/0/0,4/0/0,7/0/0,4/1/0,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/1,0/0/3,4/0/0,7/0/0,4/0/0,0/0/3,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/1,0/0/1,0/0/3,4/4/0,0/0/3,0/0/1,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
