12,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/11,0/0/15,0/0/6,0/0/11,0/0/6,0/0/17,0/0/11,0/0/6,0/0/14,0/0/11,0/0/29
0/0/31,0/0/2,0/0/3,0/0/2,0/0/3,7/0/0,8/0/0,0/0/2,0/0/3,0/0/2,0/0/3,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,7/0/0,4/0/0,1/0/0,8/0/0,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,1/0/0,4/0/0,7/0/4005,8/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,7/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/4001,1/0/0,8/0/0,0/0/1,0/0/29
0/0/31,7/2/0,4/0/0,7/0/0,4/0/0,1/0/4004,4/0/4004,1/0/0,8/0/0,1/0/0,4/1/0,0/0/29
0/0/31,0/0/4,7/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/4001,1/0/0,8/0/0,0/0/3,0/0/29
0/0/31,0/0/1,0/0/4,1/0/0,4/0/0,7/0/0,8/0/4005,1/0/0,4/0/0,0/0/5,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/2,7/0/0,4/0/0,1/0/0,8/0/0,0/0/3,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/4,7/0/0,8/0/0,0/0/5,0/0/1,0/0/1,0/0/1,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
