11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,1/0/107,0/0/2,0/0/2,0/0/2,1/3/0,0/0/2,0/0/2,0/0/2,1/0/110,0/0/29
0/0/31,0/0/4,1/0/108,0/0/1,7/0/0,4/0/0,7/0/0,0/0/1,1/0/108,0/0/4,0/0/29
0/0/31,0/0/1,0/0/4,1/0/0,8/0/0,1/0/0,8/0/0,1/0/0,0/0/4,0/0/1,0/0/29
0/0/31,8/0/4006,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4006,0/0/29
0/0/31,1/0/0,4/0/0,1/0/4001,8/0/0,1/0/4008,8/0/0,1/0/4001,4/0/0,1/0/0,0/0/29
0/0/31,8/0/4006,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4006,0/0/29
0/0/31,0/0/2,0/0/2,1/0/0,8/0/0,1/0/0,8/0/0,1/0/0,0/0/2,0/0/2,0/0/29
0/0/31,0/0/1,1/0/109,0/0/4,7/0/0,6/0/0,7/0/0,0/0/4,1/0/112,0/0/1,0/0/29
0/0/31,1/0/111,0/0/4,0/0/1,0/0/2,1/4/0,0/0/2,0/0/1,0/0/4,1/0/110,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
