11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,4/0/110,0/0/2,0/0/2,0/0/2,1/3/0,0/0/2,0/0/2,0/0/2,4/0/107,0/0/29
0/0/31,0/0/2,4/0/111,1/0/126,4/0/125,7/0/0,4/0/125,1/0/127,4/0/112,0/0/2,0/0/29
0/0/31,0/0/1,0/0/2,4/0/0,2/0/0,4/0/0,2/0/0,4/0/0,0/0/2,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,1/0/0,4/0/4001,7/0/4003,4/0/0,1/0/0,0/0/1,0/0/1,0/0/29
0/0/31,4/2/0,7/0/0,4/0/0,7/0/0,4/0/4003,7/0/0,4/0/0,7/0/0,4/1/0,0/0/29
0/0/31,0/0/2,0/0/2,1/0/0,6/0/0,7/0/4003,4/0/4001,1/0/0,0/0/2,0/0/2,0/0/29
0/0/31,0/0/1,0/0/1,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,4/0/111,1/0/128,4/0/129,7/0/0,4/0/128,1/0/128,6/0/107,0/0/1,0/0/29
0/0/31,6/0/109,0/0/2,0/0/1,0/0/1,1/4/0,0/0/1,0/0/1,0/0/2,4/0/108,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
