11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0
0/0/57,0/0/32,0/0/32,0/0/32,0/0/28,0/0/6,0/0/25,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/7,0/0/8,0/0/9,0/0/12,1/3/0,0/0/12,0/0/7,0/0/8,0/0/9,0/0/29
0/0/31,1/0/0,4/0/0,1/0/4003,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/1/0,0/0/29
0/0/31,0/0/2,1/0/4003,4/0/0,1/0/0,8/0/0,1/0/0,4/0/0,1/0/0,0/0/2,0/0/29
0/0/31,0/0/1,8/0/111,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,8/0/111,0/0/1,0/0/29
0/0/31,8/0/112,7/0/107,8/0/109,1/0/4001,8/0/4008,1/0/4005,8/0/112,7/0/107,8/0/108,0/0/29
0/0/31,0/0/3,8/0/108,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,8/0/111,0/0/3,0/0/29
0/0/31,0/0/1,1/0/0,4/0/0,1/0/0,8/0/0,1/0/0,4/0/0,1/0/4003,0/0/1,0/0/29
0/0/31,1/2/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/4003,4/0/0,1/0/0,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/27,4/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/55
0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0
