11,15
0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
0/0/57,0/0/28,0/0/6,0/0/25,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,1/3/0,0/0/6,0/0/12,0/0/6,0/0/14,0/0/15,0/0/11,0/0/13,0/0/29
0/0/31,1/2/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/4003,1/0/0,0/0/29
0/0/31,0/0/2,1/0/0,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/4001,1/0/0,4/0/4003,0/0/29
0/0/31,0/0/1,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/4008,1/0/0,0/0/29
0/0/31,0/0/1,0/0/1,0/0/2,0/0/3,4/0/4006,1/0/4008,4/0/4006,1/0/0,0/0/2,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,4/0/0,1/0/0,4/0/4005,1/0/0,0/0/2,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,4/0/0,1/0/4005,4/0/4008,1/0/0,0/0/2,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,4/0/0,1/0/4006,4/0/0,1/0/4006,0/0/2,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,4/0/0,1/0/4008,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/1,0/0/29
0/0/31,1/0/4003,4/0/0,1/0/4001,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/0,0/0/1,0/0/29
0/0/31,4/0/0,1/0/4003,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/0,1/0/0,4/1/0,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/27,4/4/0,0/0/26,0/0/55
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0
