11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/13,0/0/12,0/0/6,0/0/6,0/0/15,0/0/12,0/0/6,0/0/14,0/0/29
0/0/31,4/0/116,1/0/115,4/0/116,1/0/115,4/3/0,1/0/113,4/0/114,1/0/114,4/0/113,0/0/29
0/0/31,1/0/114,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/115,0/0/29
0/0/31,4/0/116,1/0/0,4/0/4001,1/0/0,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/114,0/0/29
0/0/31,1/0/113,4/0/0,1/0/0,4/0/4005,1/0/0,4/0/4005,1/0/0,4/0/0,1/0/116,0/0/29
0/0/31,4/2/0,1/0/0,4/0/0,1/0/0,4/0/4004,1/0/0,4/0/0,1/0/0,4/1/0,0/0/29
0/0/31,1/0/114,4/0/0,1/0/0,4/0/4005,1/0/0,4/0/4005,1/0/0,4/0/0,1/0/116,0/0/29
0/0/31,4/0/115,1/0/0,4/0/4001,1/0/0,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/116,0/0/29
0/0/31,1/0/116,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/115,0/0/29
0/0/31,4/0/113,1/0/114,4/0/113,1/0/114,4/4/0,1/0/114,4/0/113,1/0/114,4/0/115,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
