12,11
0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/31,0/0/6,0/0/17,0/0/15,0/0/16,0/0/37,0/0/32,0/0/54,0/0/0
0/0/57,0/0/32,0/0/32,0/0/28,4/0/0,1/0/0,4/0/0,3/0/0,0/0/19,0/0/6,0/0/25,0/0/54
0/0/31,0/0/6,0/0/6,0/0/11,1/0/4006,4/0/4006,3/0/4006,4/0/4006,0/0/11,4/3/0,0/0/14,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,3/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29
0/0/31,4/0/0,3/0/0,6/0/0,1/0/0,6/0/0,1/0/0,4/0/0,3/0/0,6/0/0,1/0/0,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,6/0/0,0/0/29
0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/56,0/0/27,4/4/0,0/0/21,4/0/4006,1/0/4006,4/0/4006,3/0/4006,0/0/26,0/0/30,0/0/30,0/0/55
0/0/0,0/0/56,0/0/30,0/0/39,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0
