11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/7,0/0/8,0/0/9,0/0/6,0/0/7,0/0/8,0/0/9,0/0/6,0/0/29
0/0/31,1/0/118,0/0/2,0/0/2,0/0/2,3/3/0,0/0/2,0/0/2,0/0/2,1/0/117,0/0/29
0/0/31,0/0/2,1/0/126,4/0/125,1/0/127,4/0/0,1/0/120,4/0/119,1/0/120,0/0/2,0/0/29
0/0/31,0/0/1,4/0/128,1/0/4007,4/0/0,1/0/0,4/0/0,1/0/0,4/0/118,0/0/1,0/0/29
0/0/31,0/0/1,1/0/128,6/0/0,1/0/0,5/0/4001,3/0/0,4/0/0,1/0/119,0/0/1,0/0/29
0/0/31,1/2/0,6/0/0,1/0/0,4/0/4001,3/0/4001,5/0/4001,3/0/0,4/0/0,1/1/0,0/0/29
0/0/31,0/0/2,1/0/118,4/0/0,1/0/0,5/0/4001,1/0/0,4/0/0,1/0/128,0/0/2,0/0/29
0/0/31,0/0/1,5/0/117,1/0/0,4/0/0,1/0/0,4/0/0,1/0/4007,5/0/128,0/0/1,0/0/29
0/0/31,0/0/1,1/0/120,5/0/119,1/0/120,4/0/0,1/0/129,5/0/129,1/0/128,0/0/1,0/0/29
0/0/31,1/0/118,0/0/2,0/0/1,0/0/1,1/4/0,0/0/1,0/0/1,0/0/2,1/0/117,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
