12,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/57,0/0/32,0/0/32,0/0/28,0/0/6,0/0/11,0/0/25,0/0/32,0/0/32,0/0/54,0/0/0
0/0/0,0/0/31,0/0/7,0/0/8,0/0/9,1/0/0,4/0/0,0/0/7,0/0/8,0/0/9,0/0/29,0/0/0
0/0/0,0/0/31,1/0/117,4/0/118,1/0/0,4/0/4003,1/0/4003,4/0/0,1/0/118,4/0/119,0/0/29,0/0/0
0/0/57,0/0/28,4/0/119,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/119,0/0/25,0/0/54
0/0/31,0/0/6,1/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/0,0/0/6,0/0/29
0/0/31,1/2/0,4/0/0,1/0/0,6/0/4001,1/0/4004,4/0/4004,1/0/4001,4/0/0,1/0/0,4/1/0,0/0/29
0/0/56,0/0/27,1/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/0,0/0/26,0/0/55
0/0/0,0/0/31,4/0/119,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/117,0/0/29,0/0/0
0/0/0,0/0/31,1/0/120,4/0/120,1/0/0,4/0/4003,1/0/4003,4/0/0,1/0/120,4/0/118,0/0/29,0/0/0
0/0/0,0/0/56,0/0/30,0/0/30,0/0/27,1/0/0,4/0/0,0/0/26,0/0/30,0/0/30,0/0/55,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0
