11,12
0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0
0/0/0,0/0/31,0/0/6,0/0/11,0/0/6,0/0/6,0/0/6,0/0/11,0/0/6,0/0/29,0/0/0
0/0/0,0/0/31,1/0/126,1/0/125,1/0/125,4/3/0,1/0/125,1/0/125,1/0/127,0/0/29,0/0/0
0/0/0,0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29,0/0/0
0/0/57,0/0/28,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/25,0/0/54
0/0/31,0/0/6,4/0/0,1/0/0,4/0/4006,1/0/4003,4/0/4006,1/0/0,4/0/0,0/0/6,0/0/29
0/0/31,4/2/0,1/0/0,4/0/0,1/0/4003,4/0/4007,1/0/4003,4/0/0,1/0/0,4/1/0,0/0/29
0/0/56,0/0/27,4/0/0,1/0/0,4/0/4006,1/0/4003,4/0/4006,1/0/0,4/0/0,0/0/26,0/0/55
0/0/0,0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29,0/0/0
0/0/0,0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29,0/0/0
0/0/0,0/0/31,1/0/124,1/0/128,1/0/128,4/4/0,1/0/124,1/0/128,1/0/128,0/0/29,0/0/0
0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
