11,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0,0/0/0
0/0/57,0/0/32,0/0/32,0/0/32,0/0/28,0/0/6,0/0/25,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/13,0/0/11,0/0/6,0/0/16,4/3/0,0/0/14,0/0/15,0/0/11,0/0/14,0/0/29
0/0/31,1/0/107,4/0/4006,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/4006,1/0/110,0/0/29
0/0/31,4/0/107,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/111,0/0/29
0/0/31,1/0/111,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/4001,1/0/0,4/0/0,1/0/109,0/0/29
0/0/31,4/2/0,1/0/0,4/0/0,1/0/0,4/0/4007,1/0/0,4/0/0,1/0/0,4/1/0,0/0/29
0/0/31,1/0/112,4/0/0,1/0/0,4/0/4001,1/0/0,4/0/4001,1/0/0,4/0/0,1/0/107,0/0/29
0/0/31,4/0/111,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/108,0/0/29
0/0/31,1/0/107,4/0/4006,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/4006,1/0/112,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/27,4/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/55
0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0
