12,12
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0
0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/28,0/0/6,0/0/7,0/0/8,0/0/9,0/0/25,0/0/54
0/0/0,0/0/57,0/0/32,0/0/28,0/0/10,0/0/11,4/0/0,1/0/0,4/0/0,1/0/0,0/0/6,0/0/29
0/0/0,0/0/31,0/0/6,0/0/12,1/0/0,4/0/0,1/0/4002,4/0/0,1/0/0,4/0/0,1/1/0,0/0/29
0/0/57,0/0/28,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/106,4/0/0,1/0/0,0/0/26,0/0/55
0/0/31,0/0/6,1/0/0,4/0/0,1/0/0,4/0/4005,1/0/0,4/0/0,1/0/4001,4/0/0,0/0/25,0/0/54
0/0/31,1/2/0,4/0/0,1/0/0,4/0/106,1/0/0,4/0/4004,1/0/4007,4/0/0,1/0/0,4/0/0,0/0/29
0/0/56,0/0/27,1/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/0,1/0/0,4/0/4001,1/0/0,0/0/29
0/0/0,0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/4001,1/0/106,4/0/0,1/0/0,4/0/0,0/0/29
0/0/0,0/0/56,0/0/30,0/0/27,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/0,0/0/0,0/0/0,0/0/56,0/0/27,1/0/0,4/0/0,1/0/0,0/0/21,1/4/0,0/0/26,0/0/55
0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/30,0/0/30,0/0/51,0/0/30,0/0/55,0/0/0
