12,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/13,0/0/6,0/0/11,0/0/15,0/0/6,0/0/16,0/0/6,0/0/11,0/0/6,0/0/14,0/0/29
0/0/31,0/0/3,0/0/2,0/0/3,0/0/2,1/3/0,4/0/121,0/0/3,0/0/2,0/0/3,0/0/2,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,1/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,1/0/0,4/0/0,3/0/4001,4/0/0,1/0/4004,6/0/4001,1/0/0,4/0/0,0/0/1,0/0/29
0/0/31,1/2/0,4/0/0,3/0/0,4/0/0,3/0/4005,4/0/4005,1/0/0,4/0/0,3/0/0,4/1/0,0/0/29
0/0/31,0/0/2,1/0/0,6/0/0,1/0/4001,4/0/4004,1/0/0,4/0/4001,3/0/0,4/0/0,0/0/3,0/0/29
0/0/31,0/0/1,0/0/2,1/0/0,4/0/0,3/0/0,4/0/0,1/0/0,4/0/0,0/0/3,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/2,1/0/0,4/0/0,1/0/0,4/0/0,0/0/3,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,0/0/2,1/0/122,4/4/0,0/0/3,0/0/1,0/0/1,0/0/1,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
