7,12
0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0
0/0/57,0/0/32,0/0/28,0/0/6,0/0/25,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,4/3/0,0/0/6,0/0/6,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29
0/0/31,1/0/4001,4/0/0,1/0/0,4/0/0,1/0/4007,0/0/29
0/0/31,4/0/0,1/0/4006,4/0/4004,1/0/4006,4/0/0,0/0/29
0/0/31,1/0/4007,4/0/0,1/0/0,4/0/0,1/0/4001,0/0/29
0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/56,0/0/30,0/0/27,4/4/0,0/0/26,0/0/30,0/0/55
0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0
