10,10
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0
0/0/31,0/0/11,0/0/13,0/0/16,0/0/11,0/0/17,0/0/6,0/0/16,0/0/29,0/0/0
0/0/31,2/0/0,6/0/0,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,0/0/29,0/0/0
0/0/31,6/0/0,1/0/0,8/0/0,7/0/0,8/0/0,1/0/0,5/0/0,0/0/25,0/0/54
0/0/31,1/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,1/0/0,0/0/6,0/0/29
0/0/31,6/0/0,7/0/0,8/0/4010,7/0/0,8/0/0,7/0/0,4/0/0,7/1/0,0/0/29
0/0/31,1/0/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/0,1/0/0,0/0/26,0/0/55
0/0/31,4/0/0,2/0/0,8/0/0,7/0/0,8/0/0,2/0/0,6/0/0,0/0/29,0/0/0
0/0/31,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,0/0/29,0/0/0
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55,0/0/0
