11,12
0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101
0/0/78,0/0/58,0/0/60,0/0/59,0/0/58,0/0/58,0/0/60,0/0/59,0/0/58,0/0/60,0/0/76
0/0/78,0/0/5,0/0/4,0/0/5,0/0/4,8/3/0,0/0/5,0/0/4,0/0/5,0/0/4,0/0/76
0/0/78,0/0/1,0/0/1,0/0/1,0/0/1,1/0/0,0/0/1,0/0/1,8/0/105,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,8/0/0,1/0/0,8/0/0,1/0/0,8/0/0,1/5/0,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,1/0/0,8/0/0,7/0/0,8/0/5001,1/0/0,0/0/3,0/0/1,0/0/76
0/0/78,7/2/0,1/0/0,8/0/0,7/0/0,4/0/0,7/0/0,8/0/0,1/0/0,8/1/0,0/0/76
0/0/78,0/0/4,0/0/3,1/0/0,8/0/0,7/0/0,8/0/0,1/0/0,0/0/3,0/0/4,0/0/76
0/0/78,0/0/1,0/0/1,8/0/0,1/0/0,8/0/0,1/0/0,8/0/0,0/0/1,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,0/0/5,0/0/4,1/0/0,0/0/4,0/0/5,0/0/1,0/0/1,0/0/76
0/0/78,0/0/1,0/0/1,0/0/1,0/0/1,8/4/0,0/0/1,0/0/1,0/0/1,0/0/1,0/0/76
0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102
